jumps_resolved_static,jumps_resolved_contextual,jumps_resolved_dynamic,jumps_unresolved_static,jumps_unresolved_contextual,jumps_unresolved_dynamic,uaa_no_target,uaa_unbounded,uaa_nonsound,term_stop,term_timeout,term_queue_full,term_max_depth,term_subsumed,term_invalid_opcode,term_stack_underflow,term_stack_overflow,term_stack_out_of_bound,term_op_error,uaa_total
17,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
492,0,10,0,0,6,0,0,6,377,0,0,0,111,10,0,0,0,0,6
587,0,0,0,0,9,0,0,9,494,0,0,0,62,28,0,0,0,2,9
2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,112,0,0,0,12,0,0,0,0,0,0
98,0,1,0,0,1,0,0,1,96,0,0,0,2,1,0,0,0,0,1
25,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
415,0,26,0,0,9,0,0,9,364,0,0,0,30,46,0,0,0,0,9
161,0,0,0,0,0,0,0,0,66,0,0,0,79,0,0,0,0,0,0
314,0,22,0,0,6,0,0,6,273,0,0,0,38,27,0,0,0,1,6
112,0,6,0,0,4,0,0,4,92,0,0,0,20,10,0,0,0,0,4
185,0,0,0,0,0,0,0,0,152,0,0,0,31,0,0,0,0,0,0
170,0,0,0,0,2,0,0,2,139,0,0,0,26,2,0,0,0,0,2
183,0,3,0,0,0,0,0,0,134,0,0,0,50,2,0,0,0,0,0
204,0,0,0,0,0,0,0,0,192,0,0,0,12,0,0,0,0,0,0
440,0,0,0,0,4,0,0,4,381,0,0,0,27,6,0,0,0,0,4
365,0,0,0,0,1,0,0,1,295,0,0,0,44,15,0,0,0,0,1
461,0,7,0,0,2,0,0,2,278,0,0,0,99,84,0,0,0,0,2
56,0,0,0,0,0,0,0,0,38,0,0,0,19,0,0,0,0,0,0
915,0,29,0,0,17,0,0,17,644,0,0,0,225,75,0,0,0,0,17
184,0,0,0,0,4,0,0,4,153,0,0,0,22,6,0,0,0,0,4
