sample_id,status,max_ram_kb,exec_time_ms,avg_cpu_percent,failed_to_parse,exit_status,nodes,unique_blocks,edges,mccabe,density,max_out_degree,max_in_degree,avg_out_degree,avg_in_degree,branching_nodes,merge_nodes,entry_points,exit_points,islands,cycles,detected_entry,reachable_nodes,total_nodes,max_depth,orphan_nodes,is_invalid,invalid_percentage,block_count
Contract_0x00000000008a10a98969a000d1c0aba90f858d6a.evm,ok,179172,6550,98.32,false,0,542,390,656,116,0.0022,2,13,1.21,1.21,219,70,1,105,0,true,s_0,542,542,49,0,false,0.00,0
Contract_0x0000000000ab32e9e7bd6bd3c37a7e99fb8c2d43.evm,ok,290772,11550,99.65,false,1,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x0000000000bda2152794ac8c76b2dc86cba57cad.evm,ok,78208,1190,98.32,false,0,5,5,4,1,0.2000,2,1,0.80,0.80,2,0,1,3,0,false,s_0,5,5,2,0,false,0.00,0
Contract_0x00000000011df015e8ad00d7b2486a88c2eb8210.evm,ok,123496,2210,98.64,false,0,83,83,89,8,0.0131,2,3,1.07,1.07,34,5,1,28,0,true,s_0,83,83,25,0,false,0.00,0
Contract_0x000000000d38df53b45c5733c7b34000de0bdf52.evm,ok,125888,2370,98.31,false,0,89,85,99,12,0.0126,2,5,1.11,1.11,33,5,1,23,0,false,s_0,89,89,17,0,false,0.00,0
Contract_0x0000000041087b924ee4de5567c85adcc4e00098.evm,ok,114872,2430,99.18,false,0,46,46,46,2,0.0222,2,2,1.00,1.00,21,1,1,21,0,false,s_0,46,46,21,0,false,0.00,0
Contract_0x00000000938f41360a846490409500d08919856c.evm,ok,143292,4000,98.50,false,0,261,256,285,26,0.0042,2,9,1.09,1.09,102,13,1,78,0,true,s_0,261,261,21,0,false,0.00,0
Contract_0x00000000daa80e2b0694604fc3644b0016dd56fc.evm,ok,119140,2410,98.76,false,0,93,60,124,33,0.0145,2,5,1.33,1.33,41,26,1,10,0,true,s_0,93,93,24,0,false,0.00,0
Contract_0x001de766dc641735a4ef74947e3bc6ac51219aba.evm,ok,154076,4580,96.51,false,0,302,292,345,45,0.0038,2,11,1.14,1.14,126,21,1,83,0,true,s_0,302,302,43,0,false,0.00,0
Contract_0x0122db5fba163b123ebc047d735437c6a6677e6f.evm,ok,121804,2290,98.25,false,0,89,89,107,20,0.0137,2,8,1.20,1.20,37,8,1,19,0,true,s_0,89,89,11,0,false,0.00,0
Contract_0x01c01fbf26ea9d08f895e27621a16445e8134550.evm,ok,125636,2750,98.55,false,0,121,121,131,12,0.0090,2,3,1.08,1.08,48,9,1,38,0,true,s_0,121,121,18,0,false,0.00,0
Contract_0x01eee9f6dad971da52f3d0400431692b29573da3.evm,ok,151836,3140,98.73,false,0,183,144,216,35,0.0065,2,9,1.18,1.18,67,20,1,34,0,true,s_0,183,183,30,0,false,0.00,0
Contract_0x01fec9f6a261b9e1a7b936e95ccaeea51a023750.evm,ok,130388,2550,99.22,false,0,50,50,54,6,0.0220,2,2,1.08,1.08,18,5,1,14,0,true,s_0,50,50,17,0,false,0.00,0
Contract_0x02114334e7ff9601085d5b5805f8694147317c3f.evm,ok,148004,3510,96.01,false,0,183,147,206,25,0.0062,2,10,1.13,1.13,72,8,1,49,0,true,s_0,183,183,51,0,false,0.00,0
Contract_0x02C57952e2E406A9a9af2dFF2C280c59DF9A8b8B.evm,ok,258496,8200,99.02,false,1,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x02b1669bc9ee893edaff3cadfd326a294d643f99.evm,ok,155088,4090,98.29,false,0,269,255,297,30,0.0041,2,9,1.10,1.10,100,19,1,72,0,true,s_0,269,269,21,0,false,0.00,0
Contract_0x033b4d852356914eba166383d2c9d532b28df9bb.evm,ok,144848,4090,98.78,false,0,217,206,244,29,0.0052,2,3,1.12,1.12,95,25,1,68,0,true,s_0,217,217,23,0,false,0.00,0
Contract_0x033cfadab259da77e02d037c4341ee66e1b6b2f0.evm,ok,109252,1970,98.48,false,0,33,33,38,7,0.0360,2,3,1.15,1.15,13,5,1,8,0,true,s_0,33,33,11,0,false,0.00,0
Contract_0x035afa4df29cdae9b0829aea574d3f2e07c09129.evm,ok,220892,10270,99.03,false,0,791,485,954,165,0.0015,2,8,1.21,1.21,292,112,1,129,0,true,s_0,791,791,65,0,false,0.00,0
Contract_0x037e79e1342cb1281e88a0740833897817e5c02d.evm,ok,144028,2920,98.97,false,0,171,160,200,31,0.0069,2,7,1.17,1.17,70,16,1,41,0,true,s_0,171,171,24,0,false,0.00,0
Contract_0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c.evm,ok,115364,1870,98.93,false,0,49,49,57,10,0.0242,2,3,1.16,1.16,17,7,1,9,0,true,s_0,49,49,13,0,false,0.00,0
Contract_0x0463d394d383f8e56561120ff00834fef8a5afac.evm,ok,172256,6070,98.35,false,0,511,417,595,86,0.0023,2,9,1.16,1.16,199,55,1,115,0,true,s_0,511,511,39,0,false,0.00,0
Contract_0x046ed2df4e9165fb3d7c7a3f5a161e53291b7fbb.evm,ok,130492,3040,99.01,false,0,126,116,142,18,0.0090,2,4,1.13,1.13,46,12,1,30,0,true,s_0,126,126,21,0,false,0.00,0
Contract_0x04fa0d235c4abf4bcf4787af4cf447de572ef828.evm,ok,160960,4880,98.16,false,0,370,245,431,63,0.0032,2,6,1.16,1.16,133,27,1,72,0,true,s_0,370,370,50,0,false,0.00,0
