sample_id,status,max_ram_kb,exec_time_ms,avg_cpu_percent,failed_to_parse,exit_status,nodes,edges,mccabe,density,max_out_degree,max_in_degree,avg_out_degree,avg_in_degree,branching_nodes,merge_nodes,entry_points,exit_points,islands,cycles,detected_entry,reachable_nodes,total_nodes,coverage_percent,max_depth,orphan_nodes
Contract_0x000000000041d7d38b9061e1aa93f014f2f28393.evm_runtime,ok,87240,1580,98.73,false,,29,39,12,0.0480,2,11,1.34,1.34,11,2,1,1,0,false,0,29,29,100.00,9,0
Contract_0x00000000008a10a98969a000d1c0aba90f858d6a.evm_runtime,ok,105784,2030,98.52,false,,407,600,195,0.0036,16,106,1.47,1.47,166,43,1,1,0,true,0,407,407,100.00,27,0
Contract_0x0000000000ab32e9e7bd6bd3c37a7e99fb8c2d43.evm_runtime,ok,254512,88440,99.66,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x0000000000bda2152794ac8c76b2dc86cba57cad.evm_runtime,ok,76724,1160,100.00,false,,6,7,3,0.2333,2,3,1.17,1.17,2,1,1,1,0,false,0,6,6,100.00,2,0
Contract_0x00000000011df015e8ad00d7b2486a88c2eb8210.evm_runtime,ok,99160,1690,98.82,false,,84,117,35,0.0168,2,28,1.39,1.39,34,6,1,1,0,true,0,84,84,100.00,25,0
Contract_0x000000000d38df53b45c5733c7b34000de0bdf52.evm_runtime,ok,102100,1520,100.00,false,,105,148,45,0.0136,5,25,1.41,1.41,41,9,1,1,0,false,0,105,105,100.00,19,0
Contract_0x0000000041087b924ee4de5567c85adcc4e00098.evm_runtime,ok,96488,1480,98.65,false,,47,67,22,0.0310,2,21,1.43,1.43,21,2,1,1,0,false,0,47,47,100.00,21,0
Contract_0x00000000938f41360a846490409500d08919856c.evm_runtime,ok,105148,2020,99.50,false,,392,571,181,0.0037,9,109,1.46,1.46,160,38,1,1,0,true,0,392,392,100.00,23,0
Contract_0x00000000daa80e2b0694604fc3644b0016dd56fc.evm_runtime,ok,97472,1460,99.32,false,,61,86,27,0.0235,2,10,1.41,1.41,26,15,1,1,0,true,0,61,61,100.00,23,0
Contract_0x001de766dc641735a4ef74947e3bc6ac51219aba.evm_runtime,ok,104284,2010,99.00,false,,332,476,146,0.0043,6,85,1.43,1.43,137,30,1,1,0,true,0,332,332,100.00,37,0
Contract_0x0122db5fba163b123ebc047d735437c6a6677e6f.evm_runtime,ok,103716,2050,98.54,false,,101,142,43,0.0141,3,18,1.41,1.41,41,13,1,1,0,true,0,101,101,100.00,15,0
Contract_0x01c01fbf26ea9d08f895e27621a16445e8134550.evm_runtime,ok,102480,1630,99.39,false,,148,206,60,0.0095,7,40,1.39,1.39,53,13,1,1,0,true,0,148,148,100.00,18,0
Contract_0x01eee9f6dad971da52f3d0400431692b29573da3.evm_runtime,ok,102780,1590,98.74,false,,145,206,63,0.0099,5,34,1.42,1.42,59,20,1,1,0,true,0,145,145,100.00,19,0
