sample_id,status,max_ram_kb,exec_time_ms,avg_cpu_percent,failed_to_parse,exit_status,nodes,edges,mccabe,density,max_out_degree,max_in_degree,avg_out_degree,avg_in_degree,branching_nodes,merge_nodes,entry_points,exit_points,islands,cycles,detected_entry,reachable_nodes,total_nodes,coverage_percent,max_depth,orphan_nodes
Contract_0x000000000041d7d38b9061e1aa93f014f2f28393.evm,ok,103188,1740,99.43,false,,26,25,1,0.0385,2,1,0.96,0.96,11,0,1,12,0,false,0,26,26,100.00,8,0
Contract_0x00000000008a10a98969a000d1c0aba90f858d6a.evm,ok,124920,4090,99.27,false,,160,182,24,0.0072,2,16,1.14,1.14,64,3,1,42,0,false,0,160,160,100.00,12,0
Contract_0x0000000000ab32e9e7bd6bd3c37a7e99fb8c2d43.evm,ok,146112,14900,99.66,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x0000000000bda2152794ac8c76b2dc86cba57cad.evm,ok,103080,1250,97.60,false,,5,4,1,0.2000,2,1,0.80,0.80,2,0,1,3,0,false,0,5,5,100.00,2,0
Contract_0x00000000011df015e8ad00d7b2486a88c2eb8210.evm,ok,109092,1940,98.45,false,,79,79,2,0.0128,2,2,1.00,1.00,34,1,1,34,0,false,0,79,79,100.00,24,0
Contract_0x000000000d38df53b45c5733c7b34000de0bdf52.evm,ok,110148,1880,98.94,false,,63,68,7,0.0174,2,5,1.08,1.08,25,3,1,20,0,false,0,63,63,100.00,11,0
Contract_0x0000000041087b924ee4de5567c85adcc4e00098.evm,ok,107536,1670,98.20,false,,20,19,1,0.0500,2,1,0.95,0.95,9,0,1,10,0,false,0,20,20,100.00,7,0
Contract_0x00000000938f41360a846490409500d08919856c.evm,ok,120404,4290,99.07,false,,224,235,13,0.0047,2,8,1.05,1.05,93,4,1,82,0,false,0,224,224,100.00,20,0
Contract_0x00000000daa80e2b0694604fc3644b0016dd56fc.evm,ok,106180,1650,98.18,false,,64,83,21,0.0206,2,4,1.30,1.30,32,18,1,13,0,false,0,64,64,100.00,23,0
Contract_0x001de766dc641735a4ef74947e3bc6ac51219aba.evm,ok,118864,3660,98.91,false,,282,287,7,0.0036,2,4,1.02,1.02,117,4,1,112,0,false,0,282,282,100.00,37,0
Contract_0x0122db5fba163b123ebc047d735437c6a6677e6f.evm,ok,108340,2360,98.31,false,,84,91,9,0.0131,2,4,1.08,1.08,35,5,1,28,0,false,0,84,84,100.00,11,0
Contract_0x01c01fbf26ea9d08f895e27621a16445e8134550.evm,ok,115496,2680,93.66,false,,107,108,3,0.0095,2,2,1.01,1.01,42,2,1,41,0,false,0,107,107,100.00,18,0
Contract_0x01eee9f6dad971da52f3d0400431692b29573da3.evm,ok,112732,2030,98.03,false,,126,136,12,0.0086,2,4,1.08,1.08,51,9,1,41,0,false,0,126,126,100.00,19,0
Contract_0x01fec9f6a261b9e1a7b936e95ccaeea51a023750.evm,ok,125252,3820,99.48,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x02114334e7ff9601085d5b5805f8694147317c3f.evm,ok,112780,2250,98.67,false,,77,80,5,0.0137,2,4,1.04,1.04,32,2,1,29,0,false,0,77,77,100.00,21,0
Contract_0x02C57952e2E406A9a9af2dFF2C280c59DF9A8b8B.evm,ok,131828,8720,99.54,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x02b1669bc9ee893edaff3cadfd326a294d643f99.evm,ok,122788,4790,99.16,false,,207,226,21,0.0053,2,8,1.09,1.09,83,11,1,64,0,false,0,207,207,100.00,16,0
Contract_0x033b4d852356914eba166383d2c9d532b28df9bb.evm,ok,116352,2620,98.47,false,,172,175,5,0.0060,2,3,1.02,1.02,73,3,1,70,0,false,0,172,172,100.00,22,0
Contract_0x033cfadab259da77e02d037c4341ee66e1b6b2f0.evm,ok,103584,1510,94.70,false,,26,25,1,0.0385,2,1,0.96,0.96,9,0,1,10,0,false,0,26,26,100.00,11,0
Contract_0x035afa4df29cdae9b0829aea574d3f2e07c09129.evm,ok,135664,8850,97.85,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x037e79e1342cb1281e88a0740833897817e5c02d.evm,ok,115076,2380,98.32,false,,136,142,8,0.0077,2,4,1.04,1.04,56,4,1,50,0,false,0,136,136,100.00,24,0
Contract_0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c.evm,ok,105704,1580,98.10,false,,38,40,4,0.0284,2,2,1.05,1.05,12,3,1,10,0,false,0,38,38,100.00,11,0
Contract_0x0463d394d383f8e56561120ff00834fef8a5afac.evm,ok,139828,5510,98.73,false,,347,364,19,0.0030,2,8,1.05,1.05,148,6,1,131,0,false,0,347,347,100.00,27,0
Contract_0x046ed2df4e9165fb3d7c7a3f5a161e53291b7fbb.evm,ok,113824,2100,98.57,false,,90,92,4,0.0115,2,3,1.02,1.02,34,2,1,32,0,false,0,90,90,100.00,16,0
Contract_0x04fa0d235c4abf4bcf4787af4cf447de572ef828.evm,ok,120664,3860,99.22,false,,158,170,14,0.0069,2,6,1.08,1.08,64,5,1,52,0,false,0,158,158,100.00,17,0
Contract_0x054bfcd07b64575c23c0045615b37b297e2e2929.evm,ok,112832,2110,98.10,false,,95,97,4,0.0109,2,2,1.02,1.02,35,3,1,33,0,false,0,95,95,100.00,17,0
Contract_0x0563fc575d5219c48e2dfc20368fa4179cdf320d.evm,ok,126920,4490,99.33,false,,106,113,9,0.0102,2,5,1.07,1.07,43,5,1,36,0,false,0,106,106,100.00,20,0
Contract_0x056a6724266920649540c169d8446ecffca25473.evm,ok,115596,2850,98.60,false,,170,173,5,0.0060,2,3,1.02,1.02,65,3,1,62,0,false,0,170,170,100.00,30,0
Contract_0x0577c56880592d11635d3450063ef773bffc60f6.evm,ok,113320,1790,98.32,false,,17,16,1,0.0588,2,1,0.94,0.94,7,0,1,8,0,false,0,17,17,100.00,9,0
Contract_0x0581a0abe32aae9b5f0f68defab77c6759100085.evm,ok,108604,1690,98.82,false,,51,51,2,0.0200,2,2,1.00,1.00,20,1,1,20,0,false,0,51,51,100.00,11,0
Contract_0x06a18723818cdf9ab08ed8ceb0b931777a41c8f9.evm,ok,118696,3400,98.53,false,,195,197,4,0.0052,2,3,1.01,1.01,81,2,1,79,0,false,0,195,195,100.00,30,0
Contract_0x06a8cf8f54f04094a266a49f4886c578dc42b548.evm,ok,121732,4180,98.09,false,,179,189,12,0.0059,2,4,1.06,1.06,70,7,1,60,0,false,0,179,179,100.00,36,0
Contract_0x06be577e3a6cc2cfaa6140b7d2e8a5ec61887439.evm,ok,114376,1890,98.41,false,,68,69,3,0.0151,2,2,1.01,1.01,25,2,1,24,0,false,0,68,68,100.00,15,0
Contract_0x06f3c1f0d8a444e22f6e7013f318b39cb6f82529.evm,ok,115012,2200,98.64,false,,93,95,4,0.0111,2,2,1.02,1.02,36,3,1,34,0,false,0,93,93,100.00,17,0
Contract_0x06f50C56E8a5EC54B7890af2234a968e5244dA63.evm,ok,108528,1710,98.25,false,,1,0,1,0.0000,0,0,0.00,0.00,0,0,1,1,0,false,0,1,1,100.00,0,1
Contract_0x06fe76b2f432fdfecaef1a7d4f6c3d41b5861672.evm,ok,145220,13390,99.48,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x074544d3ab4026f7b4f107a3f5f320fca9c5709f.evm,ok,131084,8440,99.05,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x07b1f172268e1737c3176b50033dcbd7755284ee.evm,ok,116620,2990,98.66,false,,265,285,22,0.0041,2,8,1.08,1.08,115,14,1,95,0,false,0,265,265,100.00,17,0
Contract_0x081f5489a66d3c75d615040fddd64d9ba1e74e76.evm,ok,117292,2540,98.82,false,,152,157,7,0.0068,2,3,1.03,1.03,61,5,1,56,0,false,0,152,152,100.00,24,0
Contract_0x0901f6530fe9b2ff3e50dc62b70e6bcb79c8b1ba.evm,ok,110436,1880,98.94,false,,16,16,2,0.0667,2,2,1.00,1.00,5,1,1,5,0,false,0,16,16,100.00,9,0
Contract_0x093bc4c8918522f09b4c2a31cf9ab2556de694c8.evm,ok,130784,5540,99.28,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x0946e36C2887025c389EF85Ea5f9150E0BEd4D69.evm,ok,166788,19150,99.58,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x097e8a763fa037d741740af72976259ea315fe3d.evm,ok,173560,25230,99.68,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x099ca2CED330cea3cDce7355150495Ae750C9B4E.evm,ok,114292,2180,99.08,false,,21,20,1,0.0476,2,1,0.95,0.95,8,0,1,9,0,false,0,21,21,100.00,8,0
Contract_0x09aE3312CAaA337c74E117F71A5D2a09eC77Ad79.evm,ok,114672,2230,99.10,false,,100,106,8,0.0107,2,2,1.06,1.06,37,7,1,31,0,false,0,100,100,100.00,18,0
Contract_0x09ab0089e07dec0ba71153cd818c44bd29562129.evm,ok,113596,1970,98.48,false,,85,95,12,0.0133,2,6,1.12,1.12,36,6,1,26,0,false,0,85,85,100.00,16,0
Contract_0x09af99b655e39b0469782af86502694a1fbcf2be.evm,ok,118068,2700,98.89,false,,152,157,7,0.0068,2,3,1.03,1.03,61,5,1,56,0,false,0,152,152,100.00,24,0
Contract_0x0B660D66b05a743Df3755058c2e63d5a5f2bA2F7.evm,ok,119852,3240,98.77,false,,177,186,11,0.0060,2,6,1.05,1.05,77,4,1,68,0,false,0,177,177,100.00,20,0
Contract_0x0B96eDCBF6C4a96b672034F12BAdF098de6eA26C.evm,ok,119760,3740,97.06,false,,245,251,8,0.0042,2,4,1.02,1.02,100,5,1,94,0,false,0,245,245,100.00,44,0
Contract_0x0C4892Ce724698205a03AE8167436Bb39d5E4D9B.evm,ok,125976,4760,98.74,false,,245,269,26,0.0045,2,8,1.10,1.10,97,10,1,73,0,false,0,245,245,100.00,17,0
Contract_0x0CFF38783be6bfeC8B32c24d501B40874348e167.evm,ok,117540,2630,98.48,false,,104,104,2,0.0097,2,2,1.00,1.00,49,1,1,49,0,false,0,104,104,100.00,19,0
Contract_0x0addedfee0e8a65c9a60067b9fe0f24af96da51d.evm,ok,118252,3480,98.85,false,,185,196,13,0.0058,2,5,1.06,1.06,80,7,1,69,0,false,0,185,185,100.00,14,0
Contract_0x0b4D742d52EE0C4391439f80822B26fDF1ad6Ee7.evm,ok,105552,1480,97.97,false,,32,35,5,0.0353,2,3,1.09,1.09,12,3,1,9,0,false,0,32,32,100.00,8,0
Contract_0x0b71bb83d2814633f7dfeb9cb5c4c2e63be215ed.evm,ok,119608,2870,98.61,false,,136,147,13,0.0080,2,9,1.08,1.08,59,3,1,48,0,false,0,136,136,100.00,15,0
Contract_0x0b79d476dac963bf4d342233ab129ab833077627.evm,ok,124716,3180,98.74,false,,227,249,24,0.0049,2,4,1.10,1.10,99,18,1,77,0,false,0,227,227,100.00,18,0
Contract_0x0ba48bb1994b33c2563385f5b3e5d5daabbbf345.evm,ok,119228,4460,97.31,false,,214,225,13,0.0049,2,8,1.05,1.05,89,5,1,78,0,false,0,214,214,100.00,12,0
Contract_0x0bb4f50d431942986941a68721fe8b8f0b9fe051.evm,ok,123508,5740,99.30,false,,263,283,22,0.0041,2,4,1.08,1.08,109,19,1,89,0,false,0,263,263,100.00,27,0
Contract_0x0c74f22130c985fa02e7105d6095fb782e9eb08c.evm,ok,174640,19210,99.64,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x0ca0d1d286bcd99d8c48b3ac71269b793b45dab3.evm,ok,115168,2670,98.50,false,,150,155,7,0.0069,2,3,1.03,1.03,60,5,1,55,0,false,0,150,150,100.00,24,0
Contract_0x0cb6f0a13f25afb4adef19736a7eb338dc52333e.evm,ok,119832,3560,98.88,false,,53,56,5,0.0203,2,2,1.06,1.06,16,4,1,13,0,false,0,53,53,100.00,12,0
Contract_0x0d8fc15b6fefc278ff642861df51b45607330871.evm,ok,113032,2110,98.58,false,,171,172,3,0.0059,2,2,1.01,1.01,82,2,1,81,0,false,0,171,171,100.00,23,0
Contract_0x0de2a05c8a3f25651c7fe0fdad821aeec916f7fa.evm,ok,120296,3840,98.70,false,,243,256,15,0.0044,2,8,1.05,1.05,110,5,1,97,0,false,0,243,243,100.00,29,0
Contract_0x0e26b2dc8ef577baf50891eac94f0def59b5da16.evm,ok,129848,5100,99.02,false,,296,310,16,0.0036,2,6,1.05,1.05,133,8,1,119,0,false,0,296,296,100.00,37,0
Contract_0x0e3f6315c57d300a33b16b566b4fc95404f895ba.evm,ok,111496,1800,98.33,false,,78,81,5,0.0135,2,4,1.04,1.04,33,2,1,30,0,false,0,78,78,100.00,15,0
Contract_0x0e5e5c1b981a20be2bfade0b114e5fe7ba6eff7f.evm,ok,119140,2710,98.52,false,,179,186,9,0.0058,2,2,1.04,1.04,70,8,1,63,0,false,0,179,179,100.00,31,0
Contract_0x0e852a82cb5f1dadc1715bfc17d4d5a9796120fb.evm,ok,115008,2160,98.61,false,,64,65,3,0.0161,2,2,1.02,1.02,25,2,1,24,0,false,0,64,64,100.00,12,0
Contract_0x0eb43ce1708f415dfb1734a3f69a89403011a4c1.evm,ok,115524,3640,98.63,false,,265,285,22,0.0041,2,8,1.08,1.08,115,14,1,95,0,false,0,265,265,100.00,17,0
Contract_0x0f4f45f2edba03d4590bd27cf4fd62e91a2a2d6a.evm,ok,145712,5640,98.94,false,,480,526,48,0.0023,2,9,1.10,1.10,222,36,1,176,0,false,0,480,480,100.00,21,0
Contract_0x0fe4f2398fc9d1186398461dff126130bef11a6e.evm,ok,126436,4310,99.30,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x103675510a219bd84CE91d1bcb82Ca194D665a09.evm,ok,162416,19050,99.53,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x10591b8e3e83cd9852172f022a5a70edfb66063d.evm,ok,142016,9970,98.19,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x10753aeb1cFe93B257fa422c940668bbF765dAf3.evm,ok,115132,2410,98.76,false,,12,11,1,0.0833,2,1,0.92,0.92,4,0,1,5,0,false,0,12,12,100.00,5,0
Contract_0x110f1c8ce1f0b7977193eda2ba144dc45b0dd7aa.evm,ok,116340,2780,98.56,false,,118,128,12,0.0093,2,9,1.08,1.08,50,2,1,40,0,false,0,118,118,100.00,21,0
Contract_0x12028be581b6ab8e6be1bb67abd39298ccadd6d5.evm,ok,110512,2080,98.56,false,,81,83,4,0.0128,2,2,1.02,1.02,31,3,1,29,0,false,0,81,81,100.00,17,0
Contract_0x12034f265c1dc4a0f638f55159ae184ea16a01eb.evm,ok,110184,2150,99.07,false,,83,86,5,0.0126,2,3,1.04,1.04,32,3,1,29,0,false,0,83,83,100.00,17,0
Contract_0x1277009197F59600285D4e319700000000d94e73.evm,ok,112216,2360,98.31,false,,75,79,6,0.0142,2,3,1.05,1.05,31,4,1,27,0,false,0,75,75,100.00,17,0
Contract_0x13110480c3c83ad103159ca239d82feb7a9b1a45.evm,ok,123520,4960,98.99,false,,273,274,3,0.0037,2,2,1.00,1.00,109,2,1,108,0,false,0,273,273,100.00,36,0
Contract_0x131bea5c6679b9df528de29ba9b8f91ced3919af.evm,ok,116420,2820,98.58,false,,97,107,12,0.0115,2,7,1.10,1.10,33,4,1,23,0,false,0,97,97,100.00,21,0
Contract_0x132a04f3f6196b499a7ed512c15e002d5dcefa9a.evm,ok,116872,3390,98.82,false,,69,73,6,0.0156,2,2,1.06,1.06,29,5,1,25,0,false,0,69,69,100.00,11,0
Contract_0x135c573503f70dc290b1d60fe2e7f7eb114febd6.evm,ok,130208,6240,99.20,false,,395,422,29,0.0027,2,4,1.07,1.07,174,23,1,147,0,true,0,395,395,100.00,38,0
Contract_0x13821c0129fb9e2cc16de2660783ff4e4861e92d.evm,ok,109176,1770,98.31,false,,72,100,30,0.0196,2,30,1.39,1.39,34,1,1,6,0,false,0,72,72,100.00,36,0
Contract_0x144cc6eb227ab439effcfa4eb19704ec41065af6.evm,ok,110248,1860,98.39,false,,16,16,2,0.0667,2,2,1.00,1.00,5,1,1,5,0,false,0,16,16,100.00,9,0
Contract_0x1457ef45c753e2675a409537250b66b3d0cadbad.evm,ok,117840,3050,99.02,false,,140,155,17,0.0080,2,9,1.11,1.11,54,4,1,39,0,false,0,140,140,100.00,12,0
Contract_0x14e21d305238768bcf07ea985def1b808f4620c9.evm,ok,127912,4300,99.30,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x14eba0b896047d61e0c745fddd1e3e07e82c5067.evm,ok,179048,34750,99.45,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x1637d405f61a6c6aa54d0a28fab85b7ea9e81932.evm,ok,137288,8820,99.43,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x16924ae9c2ac6cdbc9d6bb16fafcd38bed560936.evm,ok,121440,4550,99.12,false,,158,161,5,0.0065,2,2,1.02,1.02,62,4,1,59,0,false,0,158,158,100.00,26,0
Contract_0x16cdd7dfaecd43409f72069bc46af309449f7403.evm,ok,116892,2690,98.88,false,,143,147,6,0.0072,2,4,1.03,1.03,55,3,1,51,0,false,0,143,143,100.00,28,0
Contract_0x1713ed16004ec8ecea1d26fd66edba625f12e031.evm,ok,122536,5000,99.40,false,,163,180,19,0.0068,2,8,1.10,1.10,61,7,1,44,0,false,0,163,163,100.00,17,0
Contract_0x179747c6812bf1dcd1b3486027595a98055da059.evm,ok,115940,2110,98.58,false,,54,54,2,0.0189,2,2,1.00,1.00,23,1,1,23,0,false,0,54,54,100.00,16,0
Contract_0x17Bcf59D273f7C58735ed80Ea001a69f80DF92fc.evm,ok,114364,2180,98.62,false,,84,93,11,0.0133,2,7,1.11,1.11,32,3,1,23,0,false,0,84,84,100.00,12,0
Contract_0x17c72d96a9071d58fb2fa02a174ac10e79ec6a54.evm,ok,115720,2790,98.92,false,,131,141,12,0.0083,2,4,1.08,1.08,49,6,1,39,0,false,0,131,131,100.00,12,0
Contract_0x180e0cfb1b74de8f99cef66ddf68959187908f4f.evm,ok,123560,3680,99.18,false,,103,109,8,0.0104,2,4,1.06,1.06,38,4,1,32,0,false,0,103,103,100.00,12,0
Contract_0x189cfa1e719ec7728d04e861a6cea077b5fad634.evm,ok,115088,2570,98.83,false,,195,207,14,0.0055,2,8,1.06,1.06,83,4,1,71,0,false,0,195,195,100.00,29,0
Contract_0x18d657832c75a9ac8bc5d15a129d5f23b04f8628.evm,ok,120136,3860,98.96,false,,244,255,13,0.0043,2,4,1.05,1.05,104,8,1,93,0,false,0,244,244,100.00,33,0
Contract_0x18fe2ed05b78fb98be7e232975529ade3ebefd57.evm,ok,109384,1820,98.90,false,,41,42,3,0.0256,2,2,1.02,1.02,18,2,1,17,0,false,0,41,41,100.00,13,0
Contract_0x191e2c947a37816a75c7db1d6d14dd9974583a6b.evm,ok,116888,3280,98.78,false,,163,168,7,0.0064,2,4,1.03,1.03,66,4,1,61,0,false,0,163,163,100.00,19,0
Contract_0x1929768c55da174c8e14838a12229392a663875d.evm,ok,118612,3390,98.82,false,,240,251,13,0.0044,2,4,1.05,1.05,104,8,1,93,0,false,0,240,240,100.00,37,0
Contract_0x1964f2f3ce45ac518b18ef4aa4265f8aadcef4ae.evm,ok,114120,2570,98.44,false,,109,117,10,0.0099,2,4,1.07,1.07,40,6,1,32,0,false,0,109,109,100.00,14,0
Contract_0x1977c795b5f52bf6f8150136b07822d1f00704f3.evm,ok,122712,3820,98.95,false,,175,182,9,0.0060,2,4,1.04,1.04,67,5,1,60,0,false,0,175,175,100.00,30,0
Contract_0x1983894a01de535f71e4d5e8919cafb049db6f25.evm,ok,102260,1300,96.92,false,,7,7,2,0.1667,2,2,1.00,1.00,3,1,1,3,0,false,0,7,7,100.00,4,0
