sample_id,status,max_ram_kb,exec_time_ms,avg_cpu_percent,failed_to_parse,exit_status,nodes,edges,mccabe,density,max_out_degree,max_in_degree,avg_out_degree,avg_in_degree,branching_nodes,merge_nodes,entry_points,exit_points,islands,cycles,detected_entry,reachable_nodes,total_nodes,coverage_percent,max_depth,orphan_nodes
Contract_0x000000000041d7d38b9061e1aa93f014f2f28393.evm,ok,134628,590,100.00,false,,30,25,-3,0.0287,2,2,0.83,0.83,11,1,6,16,5,false,0,25,30,83.33,8,5
Contract_0x00000000008a10a98969a000d1c0aba90f858d6a.evm,ok,134668,600,98.33,false,,414,193,-219,0.0011,2,16,0.47,0.47,67,6,248,288,247,true,0,167,414,40.34,15,247
Contract_0x0000000000ab32e9e7bd6bd3c37a7e99fb8c2d43.evm,ok,134572,670,98.51,false,,1388,194,-1192,0.0001,2,9,0.14,0.14,63,12,1223,1257,1222,false,0,166,1388,11.96,17,1222
Contract_0x0000000000bda2152794ac8c76b2dc86cba57cad.evm,ok,134640,270,96.30,false,,9,4,-3,0.0556,2,1,0.44,0.44,2,0,5,7,4,false,0,5,9,55.56,2,4
Contract_0x00000000011df015e8ad00d7b2486a88c2eb8210.evm,ok,134624,330,93.94,false,,87,81,-4,0.0108,2,3,0.93,0.93,34,3,10,40,9,true,0,78,87,89.66,24,9
Contract_0x000000000d38df53b45c5733c7b34000de0bdf52.evm,ok,134656,270,100.00,false,,108,69,-37,0.0060,2,5,0.64,0.64,26,4,47,65,46,false,0,62,108,57.41,11,46
Contract_0x0000000041087b924ee4de5567c85adcc4e00098.evm,ok,134696,270,100.00,false,,54,44,-8,0.0154,2,2,0.81,0.81,21,1,11,31,10,false,0,44,54,81.48,20,10
Contract_0x00000000938f41360a846490409500d08919856c.evm,ok,134620,580,93.10,false,,405,237,-166,0.0014,2,9,0.59,0.59,94,7,184,262,183,true,0,222,405,54.81,20,183
Contract_0x00000000daa80e2b0694604fc3644b0016dd56fc.evm,ok,134620,610,98.36,false,,70,69,1,0.0143,2,5,0.99,0.99,24,13,17,25,16,true,0,54,70,77.14,23,16
Contract_0x001de766dc641735a4ef74947e3bc6ac51219aba.evm,ok,134588,450,97.78,false,,340,291,-47,0.0025,2,5,0.86,0.86,120,10,62,169,61,true,0,279,340,82.06,37,61
Contract_0x0122db5fba163b123ebc047d735437c6a6677e6f.evm,ok,134496,350,100.00,false,,101,90,-9,0.0089,2,5,0.89,0.89,35,5,21,46,20,true,0,81,101,80.20,11,20
Contract_0x01c01fbf26ea9d08f895e27621a16445e8134550.evm,ok,134460,350,97.14,false,,148,110,-36,0.0051,2,3,0.74,0.74,44,5,45,82,44,true,0,104,148,70.27,17,44
Contract_0x01eee9f6dad971da52f3d0400431692b29573da3.evm,ok,134688,450,97.78,false,,145,136,-7,0.0065,2,5,0.94,0.94,53,11,23,62,22,true,0,123,145,84.83,19,22
Contract_0x01fec9f6a261b9e1a7b936e95ccaeea51a023750.evm,ok,134548,340,94.12,false,,585,32,-551,0.0001,2,2,0.05,0.05,13,1,554,566,553,false,0,32,585,5.47,8,553
Contract_0x02114334e7ff9601085d5b5805f8694147317c3f.evm,ok,134628,310,96.77,false,,163,81,-80,0.0031,2,4,0.50,0.50,32,4,88,114,87,false,0,76,163,46.63,21,87
Contract_0x02C57952e2E406A9a9af2dFF2C280c59DF9A8b8B.evm,ok,134496,640,100.00,false,,1090,272,-816,0.0002,2,17,0.25,0.25,89,16,874,907,873,false,0,217,1090,19.91,15,873
Contract_0x02b1669bc9ee893edaff3cadfd326a294d643f99.evm,ok,134632,710,98.59,false,,319,227,-90,0.0022,2,9,0.71,0.71,84,13,117,176,116,true,0,203,319,63.64,16,116
Contract_0x033b4d852356914eba166383d2c9d532b28df9bb.evm,ok,134536,650,100.00,false,,261,181,-78,0.0027,2,3,0.69,0.69,75,13,94,155,93,true,0,168,261,64.37,22,93
Contract_0x033cfadab259da77e02d037c4341ee66e1b6b2f0.evm,ok,134412,320,100.00,false,,34,28,-4,0.0250,2,3,0.82,0.82,11,3,10,17,9,true,0,25,34,73.53,10,9
Contract_0x035afa4df29cdae9b0829aea574d3f2e07c09129.evm,ok,134492,960,97.92,false,,803,330,-471,0.0005,2,5,0.41,0.41,136,18,497,609,496,true,0,307,803,38.23,33,496
Contract_0x037e79e1342cb1281e88a0740833897817e5c02d.evm,ok,134612,460,100.00,false,,161,157,-2,0.0061,2,5,0.98,0.98,63,9,18,67,17,true,0,144,161,89.44,24,17
Contract_0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c.evm,ok,134640,350,97.14,false,,54,41,-11,0.0143,2,3,0.76,0.76,14,5,20,27,19,true,0,35,54,64.81,10,19
Contract_0x0463d394d383f8e56561120ff00834fef8a5afac.evm,ok,136120,2980,99.66,false,,454,386,-66,0.0019,2,9,0.85,0.85,155,20,104,223,103,true,0,351,454,77.31,26,103
Contract_0x046ed2df4e9165fb3d7c7a3f5a161e53291b7fbb.evm,ok,134604,370,97.30,false,,117,96,-19,0.0071,2,3,0.82,0.82,37,6,30,58,29,true,0,88,117,75.21,15,29
Contract_0x04fa0d235c4abf4bcf4787af4cf447de572ef828.evm,ok,134448,400,97.50,false,,362,170,-190,0.0013,2,6,0.47,0.47,64,5,206,256,205,false,0,157,362,43.37,17,205
Contract_0x054bfcd07b64575c23c0045615b37b297e2e2929.evm,ok,134532,360,97.22,false,,138,103,-33,0.0054,2,3,0.75,0.75,39,7,44,74,43,true,0,95,138,68.84,16,43
Contract_0x0563fc575d5219c48e2dfc20368fa4179cdf320d.evm,ok,134652,460,97.83,false,,440,117,-321,0.0006,2,5,0.27,0.27,46,9,337,369,336,true,0,104,440,23.64,20,336
Contract_0x056a6724266920649540c169d8446ecffca25473.evm,ok,134552,360,97.22,false,,234,176,-56,0.0032,2,3,0.75,0.75,65,5,65,123,64,false,0,170,234,72.65,30,64
Contract_0x0577c56880592d11635d3450063ef773bffc60f6.evm,ok,134616,300,96.67,false,,160,16,-142,0.0006,2,2,0.10,0.10,7,1,145,151,144,false,0,16,160,10.00,9,144
Contract_0x0581a0abe32aae9b5f0f68defab77c6759100085.evm,ok,134496,330,90.91,false,,86,51,-33,0.0070,2,3,0.59,0.59,20,1,37,55,36,false,0,50,86,58.14,11,36
Contract_0x06a18723818cdf9ab08ed8ceb0b931777a41c8f9.evm,ok,134428,350,97.14,false,,269,199,-68,0.0028,2,2,0.74,0.74,83,6,76,153,75,false,0,194,269,72.12,29,75
Contract_0x06a8cf8f54f04094a266a49f4886c578dc42b548.evm,ok,134596,650,96.92,false,,477,203,-272,0.0009,2,4,0.43,0.43,72,13,292,346,291,true,0,186,477,38.99,36,291
Contract_0x06be577e3a6cc2cfaa6140b7d2e8a5ec61887439.evm,ok,134656,340,97.06,false,,85,72,-11,0.0101,2,3,0.85,0.85,28,6,21,41,20,true,0,65,85,76.47,14,20
Contract_0x06f3c1f0d8a444e22f6e7013f318b39cb6f82529.evm,ok,134716,350,97.14,false,,129,99,-28,0.0060,2,3,0.77,0.77,39,7,39,69,38,true,0,91,129,70.54,16,38
Contract_0x06f50C56E8a5EC54B7890af2234a968e5244dA63.evm,ok,134700,650,100.00,false,,124,72,-50,0.0047,2,3,0.58,0.58,29,5,58,81,57,true,0,67,124,54.03,17,57
Contract_0x06fe76b2f432fdfecaef1a7d4f6c3d41b5861672.evm,ok,134708,710,98.59,false,,1217,180,-1035,0.0001,2,6,0.15,0.15,65,10,1063,1102,1062,true,0,155,1217,12.74,14,1062
Contract_0x074544d3ab4026f7b4f107a3f5f320fca9c5709f.evm,ok,134456,1430,99.30,false,,423,250,-171,0.0014,2,9,0.59,0.59,97,8,191,270,190,true,0,233,423,55.08,23,190
Contract_0x07b1f172268e1737c3176b50033dcbd7755284ee.evm,ok,134720,550,98.18,false,,317,294,-21,0.0029,2,9,0.93,0.93,118,15,49,141,48,true,0,269,317,84.86,17,48
Contract_0x081f5489a66d3c75d615040fddd64d9ba1e74e76.evm,ok,134716,460,97.83,false,,185,160,-23,0.0047,2,3,0.86,0.86,64,9,37,89,36,true,0,149,185,80.54,24,36
Contract_0x0901f6530fe9b2ff3e50dc62b70e6bcb79c8b1ba.evm,ok,134476,320,93.75,false,,241,16,-223,0.0003,2,2,0.07,0.07,5,2,227,230,226,false,0,15,241,6.22,9,226
Contract_0x093bc4c8918522f09b4c2a31cf9ab2556de694c8.evm,ok,134652,500,100.00,false,,691,125,-564,0.0003,2,3,0.18,0.18,53,4,572,619,571,true,0,120,691,17.37,22,571
Contract_0x0946e36C2887025c389EF85Ea5f9150E0BEd4D69.evm,ok,134496,710,97.18,false,,594,529,-63,0.0015,2,3,0.89,0.89,202,50,117,267,116,true,0,478,594,80.47,54,116
Contract_0x097e8a763fa037d741740af72976259ea315fe3d.evm,ok,140028,1980,99.49,false,,992,653,-337,0.0007,2,8,0.66,0.66,264,53,407,603,406,true,0,586,992,59.07,44,406
Contract_0x099ca2CED330cea3cDce7355150495Ae750C9B4E.evm,ok,134728,280,100.00,false,,301,20,-279,0.0002,2,2,0.07,0.07,8,1,282,289,281,false,0,20,301,6.64,8,281
Contract_0x09aE3312CAaA337c74E117F71A5D2a09eC77Ad79.evm,ok,134752,470,97.87,false,,123,112,-9,0.0075,2,3,0.91,0.91,41,14,28,52,27,true,0,96,123,78.05,17,27
Contract_0x09ab0089e07dec0ba71153cd818c44bd29562129.evm,ok,134568,390,97.44,false,,139,122,-15,0.0064,2,7,0.88,0.88,47,11,36,64,35,true,0,104,139,74.82,16,35
Contract_0x09af99b655e39b0469782af86502694a1fbcf2be.evm,ok,134716,530,98.11,false,,185,160,-23,0.0047,2,3,0.86,0.86,64,9,37,89,36,true,0,149,185,80.54,24,36
Contract_0x0B660D66b05a743Df3755058c2e63d5a5f2bA2F7.evm,ok,134552,390,100.00,false,,326,186,-138,0.0018,2,6,0.57,0.57,77,4,151,217,150,false,0,176,326,53.99,20,150
Contract_0x0B96eDCBF6C4a96b672034F12BAdF098de6eA26C.evm,ok,134640,390,100.00,false,,345,252,-91,0.0021,2,4,0.73,0.73,101,6,101,194,100,false,0,245,345,71.01,44,100
Contract_0x0C4892Ce724698205a03AE8167436Bb39d5E4D9B.evm,ok,134616,490,97.96,false,,391,269,-120,0.0018,2,9,0.69,0.69,98,10,149,220,148,true,0,243,391,62.15,17,148
Contract_0x0CFF38783be6bfeC8B32c24d501B40874348e167.evm,ok,134700,3010,99.67,false,,302,182,-118,0.0020,2,3,0.60,0.60,77,12,133,197,132,true,0,170,302,56.29,29,132
Contract_0x0addedfee0e8a65c9a60067b9fe0f24af96da51d.evm,ok,134540,540,98.15,false,,291,214,-75,0.0025,2,5,0.74,0.74,86,12,96,163,95,true,0,196,291,67.35,16,95
Contract_0x0b4D742d52EE0C4391439f80822B26fDF1ad6Ee7.evm,ok,134668,260,96.15,false,,61,36,-23,0.0098,2,3,0.59,0.59,13,4,30,38,29,false,0,32,61,52.46,8,29
Contract_0x0b71bb83d2814633f7dfeb9cb5c4c2e63be215ed.evm,ok,134604,510,98.04,false,,316,148,-166,0.0015,2,9,0.47,0.47,60,4,182,228,181,false,0,135,316,42.72,13,181
Contract_0x0b79d476dac963bf4d342233ab129ab833077627.evm,ok,134596,690,98.55,false,,248,253,7,0.0041,2,5,1.02,1.02,100,22,24,95,23,true,0,225,248,90.73,18,23
Contract_0x0ba48bb1994b33c2563385f5b3e5d5daabbbf345.evm,ok,134572,950,98.95,false,,384,253,-129,0.0017,2,9,0.66,0.66,100,11,152,231,151,true,0,233,384,60.68,21,151
Contract_0x0bb4f50d431942986941a68721fe8b8f0b9fe051.evm,ok,134508,1940,98.97,false,,443,283,-158,0.0014,2,5,0.64,0.64,109,22,185,269,184,true,0,259,443,58.47,25,184
Contract_0x0c74f22130c985fa02e7105d6095fb782e9eb08c.evm,ok,150584,4070,99.26,false,,1066,530,-534,0.0005,2,10,0.50,0.50,191,39,608,727,607,true,0,459,1066,43.06,63,607
Contract_0x0ca0d1d286bcd99d8c48b3ac71269b793b45dab3.evm,ok,134568,480,95.83,false,,183,158,-23,0.0047,2,3,0.86,0.86,63,9,37,88,36,true,0,147,183,80.33,24,36
Contract_0x0cb6f0a13f25afb4adef19736a7eb338dc52333e.evm,ok,134608,340,100.00,false,,548,57,-489,0.0002,2,3,0.10,0.10,17,5,497,508,496,false,0,52,548,9.49,12,496
Contract_0x0d8fc15b6fefc278ff642861df51b45607330871.evm,ok,134704,540,98.15,false,,188,177,-9,0.0050,2,3,0.94,0.94,83,7,19,94,18,true,0,170,188,90.43,23,18
Contract_0x0de2a05c8a3f25651c7fe0fdad821aeec916f7fa.evm,ok,136236,3200,99.69,false,,349,288,-59,0.0024,2,8,0.83,0.83,123,10,80,184,79,true,0,270,349,77.36,38,79
Contract_0x0e26b2dc8ef577baf50891eac94f0def59b5da16.evm,ok,134716,780,98.72,false,,491,309,-180,0.0013,2,7,0.63,0.63,132,8,199,314,198,true,0,293,491,59.67,37,198
Contract_0x0e3f6315c57d300a33b16b566b4fc95404f895ba.evm,ok,134524,410,97.56,false,,86,83,-1,0.0114,2,5,0.97,0.97,35,4,10,38,9,true,0,77,86,89.53,15,9
Contract_0x0e5e5c1b981a20be2bfade0b114e5fe7ba6eff7f.evm,ok,134616,450,97.78,false,,236,186,-48,0.0034,2,3,0.79,0.79,72,10,61,122,60,true,0,176,236,74.58,29,60
Contract_0x0e852a82cb5f1dadc1715bfc17d4d5a9796120fb.evm,ok,134608,360,97.22,false,,103,65,-36,0.0062,2,3,0.63,0.63,25,2,41,63,40,false,0,63,103,61.17,12,40
Contract_0x0eb43ce1708f415dfb1734a3f69a89403011a4c1.evm,ok,134592,570,98.25,false,,320,294,-24,0.0029,2,9,0.92,0.92,118,15,52,144,51,true,0,269,320,84.06,17,51
Contract_0x0f4f45f2edba03d4590bd27cf4fd62e91a2a2d6a.evm,ok,135296,4400,99.77,false,,507,517,12,0.0020,2,9,1.02,1.02,217,36,37,207,36,true,0,471,507,92.90,21,36
Contract_0x0fe4f2398fc9d1186398461dff126130bef11a6e.evm,ok,134720,390,97.44,false,,607,64,-541,0.0002,2,2,0.11,0.11,30,1,544,573,543,false,0,64,607,10.54,30,543
Contract_0x103675510a219bd84CE91d1bcb82Ca194D665a09.evm,ok,134488,730,98.63,false,,751,513,-236,0.0009,2,10,0.68,0.68,215,22,279,453,278,true,0,473,751,62.98,28,278
Contract_0x10591b8e3e83cd9852172f022a5a70edfb66063d.evm,ok,134700,980,98.98,false,,650,433,-215,0.0010,2,9,0.67,0.67,163,24,261,380,260,true,0,390,650,60.00,55,260
Contract_0x10753aeb1cFe93B257fa422c940668bbF765dAf3.evm,ok,134708,310,96.77,false,,357,11,-344,0.0001,2,2,0.03,0.03,4,1,347,350,346,false,0,11,357,3.08,5,346
Contract_0x110f1c8ce1f0b7977193eda2ba144dc45b0dd7aa.evm,ok,134644,400,97.50,false,,244,128,-114,0.0022,2,9,0.52,0.52,50,2,128,166,127,false,0,117,244,47.95,21,127
Contract_0x12028be581b6ab8e6be1bb67abd39298ccadd6d5.evm,ok,134608,370,97.30,false,,99,85,-12,0.0088,2,3,0.86,0.86,33,7,23,47,22,true,0,77,99,77.78,16,22
Contract_0x12034f265c1dc4a0f638f55159ae184ea16a01eb.evm,ok,134544,350,94.29,false,,174,87,-85,0.0029,2,3,0.50,0.50,33,4,92,120,91,false,0,83,174,47.70,17,91
Contract_0x1277009197F59600285D4e319700000000d94e73.evm,ok,134516,500,96.00,false,,148,80,-66,0.0037,2,3,0.54,0.54,32,6,76,100,75,true,0,73,148,49.32,17,75
Contract_0x13110480c3c83ad103159ca239d82feb7a9b1a45.evm,ok,134524,450,97.78,false,,359,280,-77,0.0022,2,3,0.78,0.78,114,9,90,193,89,true,0,270,359,75.21,36,89
Contract_0x131bea5c6679b9df528de29ba9b8f91ced3919af.evm,ok,134468,440,97.73,false,,256,109,-145,0.0017,2,7,0.43,0.43,33,7,162,180,161,true,0,95,256,37.11,21,161
Contract_0x132a04f3f6196b499a7ed512c15e002d5dcefa9a.evm,ok,134564,820,98.78,false,,468,71,-395,0.0003,2,3,0.15,0.15,28,3,401,425,400,false,0,68,468,14.53,11,400
Contract_0x135c573503f70dc290b1d60fe2e7f7eb114febd6.evm,ok,134652,860,89.53,false,,529,422,-105,0.0015,2,5,0.80,0.80,175,27,146,282,145,true,0,384,529,72.59,35,145
Contract_0x13821c0129fb9e2cc16de2660783ff4e4861e92d.evm,ok,134484,280,96.43,false,,93,100,9,0.0117,2,31,1.08,1.08,34,2,24,27,23,false,0,70,93,75.27,35,23
Contract_0x144cc6eb227ab439effcfa4eb19704ec41065af6.evm,ok,134596,290,100.00,false,,245,16,-227,0.0003,2,2,0.07,0.07,5,2,231,234,230,false,0,15,245,6.12,9,230
Contract_0x1457ef45c753e2675a409537250b66b3d0cadbad.evm,ok,134752,400,100.00,false,,304,159,-143,0.0017,2,9,0.52,0.52,57,7,167,202,166,true,0,138,304,45.39,12,166
Contract_0x14e21d305238768bcf07ea985def1b808f4620c9.evm,ok,134644,510,94.12,false,,713,101,-610,0.0002,2,5,0.14,0.14,38,6,622,650,621,false,0,92,713,12.90,11,621
Contract_0x14eba0b896047d61e0c745fddd1e3e07e82c5067.evm,ok,134576,1910,97.38,false,,1445,845,-598,0.0004,2,29,0.58,0.58,274,83,738,874,737,true,0,708,1445,49.00,31,737
Contract_0x1637d405f61a6c6aa54d0a28fab85b7ea9e81932.evm,ok,134456,720,98.61,false,,847,359,-486,0.0005,2,17,0.42,0.42,138,6,512,626,511,false,0,336,847,39.67,24,511
Contract_0x16924ae9c2ac6cdbc9d6bb16fafcd38bed560936.evm,ok,134676,580,98.28,false,,371,163,-206,0.0012,2,2,0.44,0.44,62,7,215,270,214,true,0,157,371,42.32,26,214
Contract_0x16cdd7dfaecd43409f72069bc46af309449f7403.evm,ok,134504,340,97.06,false,,266,147,-117,0.0021,2,4,0.55,0.55,55,5,126,174,125,false,0,141,266,53.01,28,125
Contract_0x1713ed16004ec8ecea1d26fd66edba625f12e031.evm,ok,134700,390,97.44,false,,477,180,-295,0.0008,2,9,0.38,0.38,61,8,317,358,316,false,0,161,477,33.75,17,316
Contract_0x179747c6812bf1dcd1b3486027595a98055da059.evm,ok,134588,360,97.22,false,,87,55,-30,0.0074,2,3,0.63,0.63,24,3,36,56,35,true,0,52,87,59.77,16,35
Contract_0x17Bcf59D273f7C58735ed80Ea001a69f80DF92fc.evm,ok,134664,330,96.97,false,,236,96,-138,0.0017,2,8,0.41,0.41,33,4,154,173,153,true,0,83,236,35.17,11,153
Contract_0x17c72d96a9071d58fb2fa02a174ac10e79ec6a54.evm,ok,134720,400,95.00,false,,224,146,-76,0.0029,2,5,0.65,0.65,52,8,95,130,94,true,0,130,224,58.04,12,94
Contract_0x180e0cfb1b74de8f99cef66ddf68959187908f4f.evm,ok,134628,350,97.14,false,,583,109,-472,0.0003,2,5,0.19,0.19,38,4,482,512,481,false,0,102,583,17.50,12,481
Contract_0x189cfa1e719ec7728d04e861a6cea077b5fad634.evm,ok,134620,440,97.73,false,,235,210,-23,0.0038,2,9,0.89,0.89,86,7,42,111,41,true,0,194,235,82.55,29,41
Contract_0x18d657832c75a9ac8bc5d15a129d5f23b04f8628.evm,ok,134604,760,98.68,false,,415,285,-128,0.0017,2,5,0.69,0.69,115,14,150,245,149,true,0,266,415,64.10,39,149
Contract_0x18fe2ed05b78fb98be7e232975529ade3ebefd57.evm,ok,134572,350,100.00,false,,70,41,-27,0.0085,2,2,0.59,0.59,17,3,32,46,31,true,0,39,70,55.71,13,31
Contract_0x191e2c947a37816a75c7db1d6d14dd9974583a6b.evm,ok,134676,420,100.00,false,,234,171,-61,0.0031,2,5,0.73,0.73,69,7,75,132,74,true,0,160,234,68.38,18,74
Contract_0x1929768c55da174c8e14838a12229392a663875d.evm,ok,134488,720,98.61,false,,281,252,-27,0.0032,2,3,0.90,0.90,106,12,45,135,44,true,0,237,281,84.34,36,44
Contract_0x1964f2f3ce45ac518b18ef4aa4265f8aadcef4ae.evm,ok,134660,430,97.67,false,,186,120,-64,0.0035,2,5,0.65,0.65,43,9,82,109,81,true,0,105,186,56.45,13,81
Contract_0x1977c795b5f52bf6f8150136b07822d1f00704f3.evm,ok,134444,470,97.87,false,,284,184,-98,0.0023,2,4,0.65,0.65,69,8,113,169,112,true,0,172,284,60.56,30,112
Contract_0x1983894a01de535f71e4d5e8919cafb049db6f25.evm,ok,134516,290,96.55,false,,10,8,0,0.0889,2,2,0.80,0.80,3,2,4,5,3,false,0,7,10,70.00,3,3
Contract_0x19933559f653b193dd5f3d82685d5b04e726f5e9.evm,ok,134692,950,98.95,false,,577,181,-394,0.0005,2,5,0.31,0.31,62,15,424,458,423,true,0,154,577,26.69,18,423
Contract_0x199f7fcfae24c413897be8ab5477950847cd3f0f.evm,ok,134544,510,98.04,false,,554,223,-329,0.0007,2,19,0.40,0.40,79,5,361,410,360,true,0,194,554,35.02,17,360
Contract_0x19c5a48eba1f50d63054144c62ff11665c91e805.evm,ok,134708,400,97.50,false,,192,141,-49,0.0038,2,3,0.73,0.73,57,5,58,108,57,true,0,135,192,70.31,23,57
Contract_0x1C98ad0777973F879EB0Ca89fdD7c90Fc762bA5a.evm,ok,134580,360,97.22,false,,601,50,-549,0.0001,2,4,0.08,0.08,17,3,557,568,556,false,0,45,601,7.49,9,556
Contract_0x1DDCabB4FF6E0Bf552B034a0EC4aE399BBDB1F6F.evm,ok,134504,280,96.43,false,,113,90,-21,0.0071,2,4,0.80,0.80,31,9,36,54,35,false,0,78,113,69.03,14,35
Contract_0x1a0e82b03130b4fdf8cfba3c41dd7b5e3749ec96.evm,ok,134552,380,97.37,false,,206,159,-45,0.0038,2,3,0.77,0.77,64,5,54,111,53,true,0,153,206,74.27,24,53
Contract_0x1a41781a8ba04f5818c91f62a1ff7df5e6cffc38.evm,ok,134616,710,98.59,false,,1176,374,-800,0.0003,2,12,0.32,0.32,144,14,843,946,842,false,0,334,1176,28.40,26,842
Contract_0x1a44e3774780af20657121a8abdd16272f2b388a.evm,ok,134580,340,97.06,false,,99,85,-12,0.0088,2,3,0.86,0.86,33,7,23,47,22,true,0,77,99,77.78,16,22
Contract_0x1a696C27be494BadDfa63A8ff1C37366F526c669.evm,ok,134620,300,100.00,false,,88,28,-58,0.0037,2,2,0.32,0.32,11,2,62,71,61,false,0,27,88,30.68,8,61
Contract_0x1adf9ba15cc8cdc65ff8461e161d74d95c9c4096.evm,ok,134660,500,98.00,false,,123,112,-9,0.0075,2,3,0.91,0.91,41,14,28,52,27,true,0,96,123,78.05,17,27
Contract_0x1b073382e63411e3bcffe90ac1b9a43fefa1ec6f.evm,ok,134560,390,94.87,false,,205,153,-50,0.0037,2,5,0.75,0.75,54,7,67,106,66,true,0,139,205,67.80,15,66
Contract_0x1b14e8d511c9a4395425314f849bd737baf8208f.evm,ok,134604,310,96.77,false,,57,51,-4,0.0160,2,2,0.89,0.89,22,2,8,28,7,false,0,50,57,87.72,13,7
Contract_0x1b73aea1875a0d603fd06cbc41f06d1eb2f9e3ce.evm,ok,148204,3960,99.24,false,,1110,534,-574,0.0004,2,10,0.48,0.48,192,39,648,768,647,true,0,463,1110,41.71,64,647
Contract_0x1b80c5d3a76176c7119558a6b4b250a6421e893b.evm,ok,134484,300,100.00,false,,133,122,-9,0.0069,2,3,0.92,0.92,54,4,16,65,15,false,0,118,133,88.72,18,15
Contract_0x1bE5d71F2dA660BFdee8012dDc58D024448A0A59.evm,ok,134532,1050,98.10,false,,1333,307,-1024,0.0002,2,17,0.23,0.23,95,19,1086,1121,1085,true,0,248,1333,18.60,14,1085
Contract_0x1beCC315E044E8ee8898011609E63F8259d3B124.evm,ok,134572,350,97.14,false,,259,55,-202,0.0008,2,3,0.21,0.21,21,4,209,225,208,true,0,51,259,19.69,10,208
Contract_0x1c5361730f8579dfd8ac5ee1c93f4e182820f876.evm,ok,143436,2860,98.95,false,,1109,546,-561,0.0004,2,10,0.49,0.49,196,42,639,759,638,true,0,471,1109,42.47,77,638
Contract_0x1c7e265685914927925d6e930a809e942b538db3.evm,ok,134632,490,95.92,false,,230,207,-21,0.0039,2,3,0.90,0.90,90,7,32,113,31,true,0,199,230,86.52,28,31
Contract_0x1d5ad987b743eb624662fe5c62b8f6015554203a.evm,ok,134596,280,96.43,false,,235,58,-175,0.0011,2,4,0.25,0.25,16,4,184,193,183,false,0,52,235,22.13,12,183
Contract_0x1d9bb9efc11ce34cb16751ab35ba5a7a0a5e1a4a.evm,ok,134728,420,97.62,false,,306,240,-64,0.0026,2,3,0.78,0.78,100,5,73,166,72,true,0,234,306,76.47,31,72
Contract_0x1da73c1a17f136faf15a666b645dde92a608d809.evm,ok,134532,470,95.74,false,,185,160,-23,0.0047,2,3,0.86,0.86,64,9,37,89,36,true,0,149,185,80.54,24,36
Contract_0x1dd80016e3d4ae146ee2ebb484e8edd92dacc4ce.evm,ok,134580,350,97.14,false,,175,136,-37,0.0045,2,3,0.78,0.78,57,5,46,96,45,true,0,130,175,74.29,21,45
Contract_0x1e0490cD098B40e61E3370489a0333F6c9e31467.evm,ok,134612,610,98.36,false,,399,91,-306,0.0006,2,3,0.23,0.23,38,6,315,346,314,true,0,85,399,21.30,17,314
Contract_0x1e51f9ba6898bcc9d63da95f5e1b483ef74b30d7.evm,ok,134592,370,97.30,false,,147,101,-44,0.0047,2,4,0.69,0.69,37,7,57,83,56,true,0,91,147,61.90,12,56
Contract_0x1f702f23d315b5aaf2c66eebb5aeea5e7af275c1.evm,ok,134420,390,100.00,false,,97,87,-8,0.0093,2,3,0.90,0.90,39,3,14,49,13,true,0,84,97,86.60,21,13
