sample_id,status,max_ram_kb,exec_time_ms,avg_cpu_percent,failed_to_parse,exit_status,nodes,unique_blocks,edges,mccabe,density,max_out_degree,max_in_degree,avg_out_degree,avg_in_degree,branching_nodes,merge_nodes,entry_points,exit_points,islands,cycles,detected_entry,reachable_nodes,total_nodes,max_depth,orphan_nodes,is_invalid,invalid_percentage,block_count
Contract_0x000000000041d7d38b9061e1aa93f014f2f28393.evm,ok,12496,10,100.00,false,0,29,29,29,2,0.0357,2,2,1.00,1.00,12,1,1,12,0,false,block_0x0000,29,29,9,0,false,0.00,28
Contract_0x00000000008a10a98969a000d1c0aba90f858d6a.evm,ok,20560,40,75.00,false,0,309,309,375,68,0.0039,5,16,1.21,1.21,136,30,1,76,0,true,block_0x0000,309,309,23,0,false,0.00,406
Contract_0x0000000000ab32e9e7bd6bd3c37a7e99fb8c2d43.evm,ok,21804,30,33.33,false,0,260,260,329,71,0.0049,4,11,1.27,1.27,101,33,1,37,0,true,block_0x0000,260,260,33,0,false,0.00,1353
Contract_0x0000000000bda2152794ac8c76b2dc86cba57cad.evm,ok,12484,0,0.00,false,0,5,5,4,1,0.2000,2,1,0.80,0.80,2,0,1,3,0,false,block_0x0000,5,5,2,0,false,0.00,5
Contract_0x00000000011df015e8ad00d7b2486a88c2eb8210.evm,ok,12488,10,0.00,false,0,84,84,90,8,0.0129,2,3,1.07,1.07,35,5,1,29,0,true,block_0x0000,84,84,25,0,false,0.00,83
Contract_0x000000000d38df53b45c5733c7b34000de0bdf52.evm,ok,12664,10,0.00,false,0,105,105,132,29,0.0121,5,9,1.26,1.26,50,9,1,26,0,false,block_0x0000,105,105,19,0,false,0.00,104
Contract_0x0000000041087b924ee4de5567c85adcc4e00098.evm,ok,12796,10,0.00,false,0,46,46,70,26,0.0338,25,3,1.52,1.52,22,24,1,21,0,true,block_0x0000,46,46,21,0,false,0.00,46
Contract_0x00000000938f41360a846490409500d08919856c.evm,ok,19888,40,25.00,false,0,325,325,394,71,0.0037,4,17,1.21,1.21,147,28,1,88,0,true,block_0x0000,325,325,23,0,false,0.00,391
Contract_0x00000000daa80e2b0694604fc3644b0016dd56fc.evm,ok,12468,10,0.00,false,0,56,56,72,18,0.0234,2,5,1.29,1.29,24,14,1,8,0,true,block_0x0000,56,56,23,0,false,0.00,60
Contract_0x001de766dc641735a4ef74947e3bc6ac51219aba.evm,ok,17288,20,50.00,false,0,322,322,390,70,0.0038,3,16,1.21,1.21,150,26,1,86,0,true,block_0x0000,322,322,37,0,false,0.00,331
