sample_id,status,max_ram_kb,exec_time_ms,avg_cpu_percent,failed_to_parse,exit_status,nodes,edges,mccabe,density,max_out_degree,max_in_degree,avg_out_degree,avg_in_degree,branching_nodes,merge_nodes,entry_points,exit_points,islands,cycles,detected_entry,reachable_nodes,total_nodes,coverage_percent,max_depth,orphan_nodes
Contract_0x000000000041d7d38b9061e1aa93f014f2f28393.evm,ok,32860,500,100.00,false,,29,28,1,0.0345,2,2,0.97,0.97,11,1,2,12,1,false,"""0x0""",28,29,96.55,9,1
Contract_0x00000000008a10a98969a000d1c0aba90f858d6a.evm,ok,68532,4620,100.00,false,,407,503,98,0.0030,16,16,1.24,1.24,170,49,2,107,1,true,"""0x0""",406,407,99.75,27,1
Contract_0x0000000000ab32e9e7bd6bd3c37a7e99fb8c2d43.evm,ok,1091696,272440,99.68,false,,,,,,,,,,,,,,,,,,,,,,,
Contract_0x0000000000bda2152794ac8c76b2dc86cba57cad.evm,ok,31896,400,97.50,false,,6,4,0,0.1333,2,1,0.67,0.67,2,0,2,4,1,false,"""0x0""",5,6,83.33,2,1
Contract_0x00000000011df015e8ad00d7b2486a88c2eb8210.evm,ok,36616,550,100.00,false,,84,89,7,0.0128,2,3,1.06,1.06,34,5,2,29,1,true,"""0x0""",83,84,98.81,25,1
Contract_0x000000000d38df53b45c5733c7b34000de0bdf52.evm,ok,39020,790,98.73,false,,105,123,20,0.0113,5,5,1.17,1.17,41,8,2,26,1,false,"""0x0""",104,105,99.05,19,1
Contract_0x0000000041087b924ee4de5567c85adcc4e00098.evm,ok,34260,580,100.00,false,,47,46,1,0.0213,2,2,0.98,0.98,21,1,2,22,1,false,"""0x0""",46,47,97.87,21,1
Contract_0x00000000938f41360a846490409500d08919856c.evm,ok,68776,5080,99.61,false,,393,473,82,0.0031,9,9,1.20,1.20,165,42,2,111,1,true,"""0x0""",392,393,99.75,23,1
Contract_0x00000000daa80e2b0694604fc3644b0016dd56fc.evm,ok,36852,700,100.00,false,,61,76,17,0.0208,2,5,1.25,1.25,26,14,2,11,1,true,"""0x0""",60,61,98.36,23,1
Contract_0x001de766dc641735a4ef74947e3bc6ac51219aba.evm,ok,54572,2040,99.51,false,,332,392,62,0.0036,6,12,1.18,1.18,138,29,2,86,1,true,"""0x0""",331,332,99.70,37,1
Contract_0x0122db5fba163b123ebc047d735437c6a6677e6f.evm,ok,37748,700,98.57,false,,102,125,25,0.0121,3,8,1.23,1.23,41,12,2,19,1,true,"""0x0""",100,102,98.04,15,0
Contract_0x01c01fbf26ea9d08f895e27621a16445e8134550.evm,ok,43636,1300,99.23,false,,148,171,25,0.0079,7,7,1.16,1.16,57,16,2,41,1,true,"""0x0""",147,148,99.32,18,1
